Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$822,048,508",-,-,"$822,048,508",100%
2,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
3,Godzilla vs. Kong,"$432,880,073","$96,880,073",22.4%,"$336,000,000",77.6%
4,Impasse,"$164,919,448","$107,364",<0.1%,"$164,812,084",99.9%
5,F9,"$163,005,000",-,-,"$163,005,000",100%
6,A Writer's Odyssey,"$149,528,951","$133,527",<0.1%,"$149,395,424",99.9%
7,Sister,"$128,292,175",-,-,"$128,292,175",100%
8,Raya and the Last Dragon,"$125,890,028","$48,865,365",38.8%,"$77,024,663",61.2%
9,Tom and Jerry,"$114,538,157","$45,638,157",39.8%,"$68,900,000",60.2%
10,My Love,"$113,151,833",-,-,"$113,151,833",100%
11,Endgame,"$91,815,762","$23,149",<0.1%,"$91,792,613",100%
12,Detective Conan: The Scarlet Bullet,"$87,486,690",-,-,"$87,486,690",100%
13,Mortal Kombat,"$79,654,419","$41,254,419",51.8%,"$38,400,000",48.2%
14,Evangelion: 3.0+1.0 Thrice Upon a Time,"$78,408,447",-,-,"$78,408,447",100%
15,Boonie Bears: The Wild Life,"$77,725,611",-,-,"$77,725,611",100%
16,Wrath of Man,"$72,207,737","$20,007,737",27.7%,"$52,200,000",72.3%
17,Avatar 2021 Re-release,"$57,566,409",-,-,"$57,566,409",100%
18,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
19,Break Through the Darkness,"$52,700,000",-,-,"$52,700,000",100%
20,Nobody,"$45,965,130","$25,865,130",56.3%,"$20,100,000",43.7%
21,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
22,I Fell in Love Like A Flower Bouquet,"$34,422,973",-,-,"$34,422,973",100%
23,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
24,Once Upon a Time in Hong Kong,"$32,218,874",-,-,"$32,218,874",100%
25,Home Sweet Home,"$32,178,677",-,-,"$32,178,677",100%
26,Love Will Tear Us Apart,"$30,700,000",-,-,"$30,700,000",100%
27,Peter Rabbit 2: The Runaway,"$30,200,000",-,-,"$30,200,000",100%
28,The Little Things,"$29,844,012","$15,244,012",51.1%,"$14,600,000",48.9%
29,The Unholy,"$29,126,750","$15,326,750",52.6%,"$13,800,000",47.4%
30,Master,"$28,692,230",-,-,"$28,692,230",100%
31,The Last Warrior: Root of Evil,"$28,354,705",-,-,"$28,354,705",100%
32,Rurouni Kenshin: Final Chapter Part I - The Final,"$26,788,917",-,-,"$26,788,917",100%
33,Spiral,"$24,288,261","$17,507,163",72.1%,"$6,781,098",27.9%
34,The Marksman,"$22,502,999","$15,566,093",69.2%,"$6,936,906",30.8%
35,Chaos Walking,"$21,887,908","$13,287,908",60.7%,"$8,600,000",39.3%
36,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
37,The Dry,"$17,255,568","$162,809",0.9%,"$17,092,759",99.1%
38,Bo Gia,"$17,130,489",-,-,"$17,130,489",100%
39,Gintama: The Final,"$16,971,401",-,-,"$16,971,401",100%
40,Konyok-gorbunok,"$15,990,882",-,-,"$15,990,882",100%
41,Nomadland,"$14,784,114","$2,143,000",14.5%,"$12,641,114",85.5%
42,Minari,"$14,489,174","$3,110,580",21.5%,"$11,378,594",78.5%
43,Man in Love,"$13,300,000",-,-,"$13,300,000",100%
44,Those Who Wish Me Dead,"$13,126,737","$5,626,737",42.9%,"$7,500,000",57.1%
45,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
46,Monkey King Reborn,"$13,000,000",-,-,"$13,000,000",100%
47,The Courier,"$11,929,028","$6,552,117",54.9%,"$5,376,911",45.1%
48,Krack,"$10,442,916",-,-,"$10,442,916",100%
49,"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%
50,Meitantei Conan: Hiiro no fuzai shômei,"$10,308,627",-,-,"$10,308,627",100%
51,Ji hun,"$9,600,000",-,-,"$9,600,000",100%
52,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
53,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
54,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
55,Signal: The Movie,"$7,344,186",-,-,"$7,344,186",100%
56,Dad,"$7,189,680",-,-,"$7,189,680",100%
57,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%
58,Lat Mat 5: 48H,"$6,781,370",-,-,"$6,781,370",100%
59,Judas and the Black Messiah,"$6,450,691","$5,446,607",84.4%,"$1,004,084",15.6%
60,Penguin Bloom,"$6,209,290",-,-,"$6,209,290",100%
61,August Never Ends,"$6,200,000",-,-,"$6,200,000",100%
62,Brave: Gunjyo Senki,"$5,677,186",-,-,"$5,677,186",100%
63,Suicide Forest Village,"$5,649,354",-,-,"$5,649,354",100%
64,Octonauts: The Ring of Fire,"$5,512,875",-,-,"$5,512,875",100%
65,Chernobyl: Abyss,"$5,306,985",-,-,"$5,306,985",100%
66,Kiba: The Fangs of Fiction,"$5,283,305",-,-,"$5,283,305",100%
67,Poly,"$5,076,221",-,-,"$5,076,221",100%
68,Red,"$4,920,261",-,-,"$4,920,261",100%
69,Palma,"$4,710,142",-,-,"$4,710,142",100%
70,Under the Open Sky,"$4,702,781",-,-,"$4,702,781",100%
71,Separation,"$4,467,349","$4,467,349",100%,-,-
72,Major Grom: Plague Doctor,"$4,460,681",-,-,"$4,460,681",100%
73,The Relatives,"$4,300,000",-,-,"$4,300,000",100%
74,77 Heartwarmings,"$4,235,741",-,-,"$4,235,741",100%
75,V2. Escape from Hell,"$4,235,643",-,-,"$4,235,643",100%
76,Prababushka lyogkogo povedeniya,"$4,226,911",-,-,"$4,226,911",100%
77,Girls und Panzer das Finale: Part III,"$4,216,657",-,-,"$4,216,657",100%
78,Boogie,"$4,191,023","$4,178,620",99.7%,"$12,403",0.3%
79,Seobok,"$4,119,613",-,-,"$4,119,613",100%
80,Voyagers,"$4,104,373","$3,149,935",76.7%,"$954,438",23.3%
81,The Lord of the Rings: The Two Towers 2021 Re-release,"$4,084,695",-,-,"$4,084,695",100%
82,The Mauritanian,"$3,938,134","$836,536",21.2%,"$3,101,598",78.8%
83,Karnan,"$3,817,585",-,-,"$3,817,585",100%
84,Wrong Turn,"$3,777,969","$1,251,184",33.1%,"$2,526,785",66.9%
85,The Lord of the Rings: The Return of the King 2021 Re-release,"$3,573,925",-,-,"$3,573,925",100%
86,Mission Possible,"$3,563,279",-,-,"$3,563,279",100%
87,Tomorrow Will Be Fine,"$3,520,000",-,-,"$3,520,000",100%
88,The Sun Does Not Move,"$3,483,187",-,-,"$3,483,187",100%
89,Beautiful Lure: A Modern Tale of Painted Skin,"$3,307,104",-,-,"$3,307,104",100%
90,Después de Ti,"$3,162,778",-,-,"$3,162,778",100%
91,The Girl Who Believes in Miracles,"$3,133,865","$3,133,865",100%,-,-
92,Endless Rain,"$3,029,528","$7,334",0.2%,"$3,022,194",99.8%
93,Land,"$2,893,531","$2,577,830",89.1%,"$315,701",10.9%
94,Recalled,"$2,696,945",-,-,"$2,696,945",100%
95,The Book of Fish,"$2,622,158",-,-,"$2,622,158",100%
96,Here Today,"$2,601,005","$2,601,005",100%,-,-
97,Finding You,"$2,519,657","$2,156,743",85.6%,"$362,914",14.4%
98,High Ground,"$2,410,647",-,-,"$2,410,647",100%
99,Roohi,"$2,306,525",-,-,"$2,306,525",100%
100,Mumbai Saga,"$2,243,073",-,-,"$2,243,073",100%
101,Yakuza and the Family,"$2,168,905",-,-,"$2,168,905",100%
102,30 Rojullo Preminchadam Ela?,"$2,088,571",-,-,"$2,088,571",100%
103,The Night Beyond the Tricornered Window,"$2,081,564",-,-,"$2,081,564",100%
104,One Second Champion,"$2,081,126",-,-,"$2,081,126",100%
105,June Again,"$1,927,042",-,-,"$1,927,042",100%
